  ;Poids-kg;Diam-m;Def-m;Fmax-N;Fermeté/dép;Travail;p.c.perte;Pression;L surimp;a surimp;b surimp;L fond;a fond;b fond;Ethylène (nmole/h.kg;Log(éthyl);IR (°Brix);AT (meq/100gMF);glucose (g/100gMF);fructose (g/100gMF);saccharose (g/100gMF;citrate (meq/100gMF);malate (meq/100gMF)
373p29                                   ;0.0585 ;0.0421 ;0.00125 ;7.07 ;5658.4 ;4.42 ;1.34 ;86.85 ;33.19 ;30.02 ;11.33 ;47.93 ;29.52 ;28.58 ;248.91 ;5.52 ;12.7 ;27.12 ;2.48 ;1.28 ;3.41 ;25.8 ;5.38
373p30                                   ;0.0698 ;0.0433 ;0.0012875 ;7.41 ;5752.7 ;4.77 ;1.36 ;85.86 ;34.88 ;34.31 ;15.05 ;63.99 ;13.04 ;46.07 ;812.91 ;6.7 ;14.2 ;28.35 ;3.05 ;1.35 ;3.81 ;20.33 ;5.97
373p31                                   ;0.0722 ;0.045988 ;0.0013625 ;8.31 ;6098.4 ;5.66 ;1.09 ;85.69 ;37.6 ;39.97 ;17.01 ;59.23 ;18.26 ;43.26 ;165.72 ;5.11 ;13.5 ;26.52 ;2.95 ;1.35 ;3.92 ;24.61 ;5.22
373p32                                   ;0.0588 ;0.042338 ;0.0012625 ;7.08 ;5610.1 ;4.47 ;1.18 ;85.64 ;35.79 ;31.74 ;11.57 ;39.93 ;16.62 ;20.64 ;75.829 ;4.33 ;13.2 ;28.26 ;2.86 ;1.46 ;3.69 ;27.45 ;5.1
373p33                                   ;0.0573 ;0.042513 ;0.0012625 ;7.1 ;5625.7 ;4.48 ;0.85 ;85.51 ;62.63 ;8.61 ;43.53 ;38.88 ;31.55 ;17.3 ;17.289 ;2.85 ;11.9 ;27.33 ;2.77 ;1.42 ;2.15 ;24.94 ;4.91
373p34                                   ;0.0631 ;0.042688 ;0.0012625 ;7.09 ;5617.9 ;4.48 ;1.41 ;85.04 ;36.63 ;36.46 ;17.59 ;61.35 ;18.71 ;41.52 ;286.42 ;5.66 ;13.2 ;29.87 ;2.5 ;1.15 ;4.21 ;27.76 ;5.38
373p35                                   ;0.0627 ;0.04335 ;0.0012875 ;7.34 ;5699.3 ;4.72 ;1.18 ;84.96 ;41.49 ;37.32 ;20.44 ;61.02 ;7.47 ;40 ;53.897 ;3.99 ;12.5 ;29.31 ;2.62 ;1.37 ;3.57 ;27.26 ;5.21
373p36                                   ;0.0663 ;0.04335 ;0.0012875 ;7.27 ;5646 ;4.68 ;1.21 ;84.16 ;34.78 ;34.61 ;14.44 ;56.46 ;25.81 ;35.83 ;85.542 ;4.45 ;14.8 ;22.59 ;3.17 ;1.35 ;4.5 ;20.3 ;5.37
373p37                                   ;0.0644 ;0.0431 ;0.001275 ;7.13 ;5593.6 ;4.55 ;1.22 ;83.86 ;42.61 ;32.67 ;21.1 ;66.53 ;8.8 ;46.04 ;318.68 ;5.76 ;11.5 ;25.62 ;2.55 ;1.4 ;4.33 ;26.56 ;5.67
373p38                                   ;0.0585 ;0.042225 ;0.00125 ;6.8 ;5438.7 ;4.25 ;1.21 ;83.23 ;38.13 ;40.86 ;18.04 ;54.58 ;34.36 ;37.36 ;394.09 ;5.98 ;13.5 ;21.89 ;2.98 ;1.43 ;4.44 ;19.53 ;5.37
373p39                                   ;0.0721 ;0.043275 ;0.0012875 ;7.15 ;5554.6 ;4.6 ;1.27 ;82.95 ;40.74 ;32.96 ;18.35 ;67.29 ;7.84 ;45.27 ;434.66 ;6.07 ;12.3 ;27.75 ;2.25 ;1.2 ;4.34 ;27.78 ;5.38
373p40                                   ;0.0671 ;0.042912 ;0.001275 ;6.93 ;5432.1 ;4.42 ;1.4 ;81.8 ;33.81 ;30.62 ;11.66 ;55.74 ;24.37 ;36.99 ;119.21 ;4.78 ;14.3 ;31.73 ;3.43 ;1.55 ;3.46 ;27.8 ;5.54
372p01                                   ;0.0559 ;0.0407 ;0.0012125 ;12.55 ;10348 ;7.61 ;0.58 ;164.31 ;37.44 ;24.68 ;16.24 ;61.27 ;-3.38 ;40.84 ;39.968 ;3.69 ;10.9 ;29.15 ;2.05 ;1.03 ;2.04 ;26.61 ;5.23
372p02                                   ;0.0628 ;0.041313 ;0.001225 ;12.86 ;10499 ;7.88 ;0.85 ;164.22 ;33.56 ;30.35 ;13.1 ;64.59 ;-0.63 ;46.81 ;56.627 ;4.04 ;11.5 ;30.15 ;1.95 ;1.05 ;2.75 ;29.27 ;5.52
372p03                                   ;0.0669 ;0.042813 ;0.001275 ;13.86 ;10872 ;8.84 ;0.64 ;164.11 ;38.39 ;34.79 ;18.36 ;57.19 ;15.93 ;36.06 ;82.483 ;4.41 ;11.8 ;28.52 ;2.18 ;1.18 ;3.38 ;21.89 ;6.12
372p04                                   ;0.0542 ;0.039825 ;0.0011875 ;12.01 ;10112 ;7.13 ;0.75 ;164.08 ;34.3 ;32.93 ;13.22 ;59.62 ;12.09 ;40.22 ;80.583 ;4.39 ;12.6 ;25.18 ;2.43 ;1.38 ;2.45 ;26.97 ;5.38
372p05                                   ;0.0565 ;0.040388 ;0.0012 ;12.04 ;10031 ;7.22 ;0.59 ;160.5 ;36.36 ;32.88 ;15.77 ;63.08 ;-5.94 ;43.75 ;15.906 ;2.77 ;11.6 ;26.54 ;2.66 ;1.28 ;1.27 ;23.49 ;4.79
372p06                                   ;0.0567 ;0.040275 ;0.0012 ;12 ;9998 ;7.2 ;0.81 ;160.43 ;37.35 ;34.66 ;17.35 ;61.39 ;8.62 ;40.02 ;31.872 ;3.46 ;12 ;26.81 ;2.17 ;1.15 ;2.62 ;24.96 ;6.11
372p07                                   ;0.0528 ;0.040587 ;0.0012 ;12.09 ;10072 ;7.25 ;0.68 ;160.34 ;33.95 ;28.11 ;13.61 ;68.17 ;-3.09 ;46.42 ;28.929 ;3.36 ;10.9 ;30.52 ;1.98 ;1.08 ;2.25 ;34.38 ;4.78
372p08                                   ;0.0545 ;0.039625 ;0.001175 ;11.53 ;9810 ;6.77 ;0.69 ;159.98 ;43.54 ;32.27 ;24.96 ;60.97 ;5.76 ;40.39 ;43.039 ;3.76 ;10.8 ;28.9 ;2.02 ;1.1 ;2.75 ;26.54 ;5.67
372p09                                   ;0.0467 ;0.037363 ;0.0011125 ;10.11 ;9091.3 ;5.63 ;0.94 ;157.25 ;35.1 ;30.3 ;13.29 ;59.19 ;10.02 ;37.74 ;69.033 ;4.23 ;12.8 ;30.47 ;2.5 ;1.18 ;2.68 ;26.95 ;6.42
372p10                                   ;0.0523 ;0.037838 ;0.001125 ;10.34 ;9190.9 ;5.82 ;0.89 ;156.97 ;39.74 ;31.88 ;16.28 ;67.83 ;9.91 ;48.19 ;74.428 ;4.31 ;13.1 ;33.23 ;2.46 ;1.3 ;3.04 ;29.76 ;6.13
372p11                                   ;0.0509 ;0.039325 ;0.0011625 ;11.1 ;9552.6 ;6.45 ;0.76 ;156.96 ;34.9 ;37.03 ;17.1 ;54.41 ;21.75 ;34.71 ;79.858 ;4.38 ;12.4 ;27.94 ;2.33 ;1.2 ;2.83 ;23.87 ;5.83
372p12                                   ;0.052 ;0.03935 ;0.0011625 ;11.09 ;9535.7 ;6.44 ;1.05 ;156.59 ;38.97 ;31.06 ;15.72 ;63.09 ;5.79 ;44.58 ;56.987 ;4.04 ;12.3 ;35.7 ;2.22 ;1.07 ;2.6 ;30.79 ;6.4
372p14                                   ;0.0705 ;0.042775 ;0.001275 ;13.12 ;10287 ;8.36 ;0.64 ;155.42 ;38.82 ;36.53 ;20.14 ;61.9 ;7.22 ;42.71 ;73.359 ;4.3 ;11.5 ;28.98 ;2.16 ;1.13 ;2.42 ;24.71 ;5.62
372p15                                   ;0.0525 ;0.039 ;0.0011625 ;10.9 ;9375.4 ;6.33 ;0.83 ;155.36 ;37.68 ;32.22 ;15.53 ;61.81 ;16.33 ;38.42 ;236.61 ;5.47 ;11.8 ;25.88 ;2.23 ;1.18 ;2.68 ;25.78 ;5.52
372p16                                   ;0.0569 ;0.04165 ;0.0012375 ;12.38 ;10004 ;7.66 ;0.72 ;155.22 ;38.57 ;35.14 ;19.05 ;54.87 ;28.58 ;32.38 ;48.1 ;3.87 ;11.1 ;27.86 ;1.75 ;1.03 ;2.83 ;21.11 ;5.68
372p17                                   ;0.0661 ;0.044038 ;0.0013125 ;13.69 ;10434 ;8.99 ;0.71 ;153.12 ;41.11 ;30.85 ;14.74 ;61.08 ;9.13 ;38.52 ;93.612 ;4.54 ;11.7 ;29.7 ;1.8 ;1.05 ;2.39 ;28.1 ;5.37
372p18                                   ;0.0617 ;0.04165 ;0.0012375 ;12.16 ;9829.8 ;7.53 ;0.63 ;152.51 ;36.52 ;40.94 ;21.83 ;61.77 ;7.39 ;42.63 ;66.415 ;4.2 ;12.2 ;25.07 ;1.93 ;1.05 ;2.8 ;23.44 ;5.97
372p19                                   ;0.0684 ;0.042612 ;0.0012625 ;12.69 ;10055 ;8.01 ;0.73 ;152.47 ;45.97 ;28.09 ;23.13 ;62.38 ;11.86 ;41.09 ;133.53 ;4.89 ;11.4 ;29.27 ;2.33 ;1.15 ;2.64 ;22.28 ;5.23
372p20                                   ;0.057 ;0.040438 ;0.0012 ;11.45 ;9540.2 ;6.87 ;0.68 ;152.46 ;62.99 ;5.5 ;42.33 ;41.15 ;41.62 ;22.25 ;72.216 ;4.28 ;10.7 ;29.87 ;1.72 ;0.97 ;2.34 ;23.75 ;5.65
372p21                                   ;0.049 ;0.038525 ;0.0011375 ;10.27 ;9029.5 ;5.84 ;0.97 ;151.45 ;37.37 ;35.35 ;19.22 ;59.03 ;19.93 ;40.29 ;97.412 ;4.58 ;11.8 ;27.07 ;2.08 ;1.05 ;2.37 ;25.43 ;5.53
372p22                                   ;0.0526 ;0.040113 ;0.0011875 ;11.14 ;9384.6 ;6.62 ;0.87 ;151.18 ;36.06 ;32.67 ;18.29 ;59.03 ;22.09 ;35.7 ;53.942 ;3.99 ;10.9 ;27.74 ;2.08 ;1.15 ;2.21 ;22.67 ;5.08
372p23                                   ;0.0523 ;0.040563 ;0.0012 ;11.37 ;9474.8 ;6.82 ;1.05 ;150.94 ;34.51 ;33.7 ;16.41 ;63.94 ;12.09 ;40.06 ;41.594 ;3.73 ;11 ;27.14 ;1.75 ;0.97 ;2.3 ;19.87 ;4.91
372p24                                   ;0.0545 ;0.04005 ;0.0011875 ;11.1 ;9351.5 ;6.59 ;0.75 ;150.89 ;37.73 ;34.99 ;18.48 ;64.42 ;12.6 ;45.15 ;168.85 ;5.13 ;12.7 ;26.9 ;2.27 ;1.15 ;2.72 ;24.92 ;5.5
372p25                                   ;0.065 ;0.04255 ;0.0012625 ;12.48 ;9883.8 ;7.88 ;0.71 ;150.11 ;43.44 ;35.7 ;22.78 ;64.77 ;5.61 ;44.48 ;130.28 ;4.87 ;13 ;31.7 ;1.78 ;0.98 ;2.18 ;23.46 ;5.97
372p26                                   ;0.0599 ;0.0413 ;0.001225 ;11.71 ;9561.8 ;7.17 ;0.76 ;149.61 ;45.91 ;26.7 ;21.22 ;59.32 ;7.44 ;38.01 ;46.502 ;3.84 ;11.6 ;27.78 ;1.82 ;1.02 ;2.79 ;25.7 ;6.25
372p28                                   ;0.0595 ;0.0413 ;0.001225 ;11.67 ;9529.7 ;7.15 ;0.79 ;149.11 ;37.04 ;27.22 ;14.3 ;55.81 ;18.87 ;31.01 ;93.57 ;4.54 ;11.4 ;25.67 ;1.95 ;1.05 ;2.63 ;26.93 ;5.37
372p29                                   ;0.0611 ;0.040375 ;0.0012 ;11.14 ;9286.8 ;6.69 ;0.96 ;148.64 ;36.46 ;32.6 ;17.01 ;54.8 ;23.16 ;35.1 ;121.66 ;4.8 ;12.7 ;28.76 ;2.27 ;1.1 ;2.99 ;30.4 ;5.81
372p30                                   ;0.0627 ;0.04175 ;0.0012375 ;11.88 ;9599.9 ;7.35 ;0.69 ;148.59 ;40.62 ;35.39 ;19.65 ;58.05 ;20.51 ;37.18 ;41.396 ;3.72 ;11.5 ;30.18 ;2.27 ;1.15 ;2.12 ;22.18 ;5.35
372p31                                   ;0.0568 ;0.0391 ;0.0011625 ;10.44 ;8978.8 ;6.07 ;0.93 ;148.4 ;40.18 ;33.55 ;18.46 ;62.25 ;11.43 ;43.8 ;130.87 ;4.87 ;14.3 ;34.3 ;2.35 ;1.13 ;3.64 ;30.47 ;5.97
372p32                                   ;0.0616 ;0.041838 ;0.0012375 ;11.87 ;9592 ;7.34 ;0.81 ;148.15 ;33.8 ;28.65 ;11.14 ;54.48 ;15.87 ;35.97 ;52.079 ;3.95 ;13.5 ;32.22 ;2.5 ;1.3 ;3.01 ;25.74 ;5.66
372p33                                   ;0.0502 ;0.038575 ;0.00115 ;10.11 ;8794.9 ;5.82 ;0.91 ;147.34 ;34.18 ;32.09 ;14.62 ;62.11 ;11.72 ;38.77 ;289.25 ;5.67 ;13.2 ;30.07 ;2.2 ;1.12 ;3.7 ;23.81 ;5.52
372p34                                   ;0.0599 ;0.04185 ;0.0012375 ;11.77 ;9512.7 ;7.28 ;0.84 ;146.88 ;38.02 ;30.75 ;14.67 ;64.08 ;4.83 ;41.61 ;42.828 ;3.76 ;11.4 ;31.26 ;2 ;1.13 ;2.36 ;23.49 ;5.39
372p35                                   ;0.06 ;0.042763 ;0.001275 ;12.38 ;9710 ;7.89 ;0.82 ;146.74 ;35.59 ;35.2 ;17.65 ;55.79 ;17.91 ;34.68 ;61.828 ;4.12 ;10.5 ;29.99 ;2.32 ;1.22 ;2.14 ;25.33 ;5.21
372p36                                   ;0.0626 ;0.042188 ;0.00125 ;11.97 ;9574.6 ;7.48 ;0.92 ;146.66 ;38.08 ;32.91 ;17.09 ;47.37 ;14.67 ;24.09 ;207.37 ;5.33 ;12.4 ;30.66 ;2.17 ;1.07 ;2.99 ;26.93 ;5.82
372p37                                   ;0.0539 ;0.039325 ;0.0011625 ;10.37 ;8919.7 ;6.03 ;0.95 ;146.56 ;35.76 ;36.58 ;16.01 ;61.79 ;9.75 ;42.57 ;22.211 ;3.1 ;9.9 ;27.6 ;2.43 ;1.3 ;1.4 ;23.05 ;5.37
372p38                                   ;0.0616 ;0.041212 ;0.001225 ;11.45 ;9345.5 ;7.01 ;0.76 ;146.54 ;38.77 ;30.07 ;17.47 ;66.52 ;9.4 ;49.03 ;137.45 ;4.92 ;12.4 ;30.1 ;2.1 ;1.15 ;3.43 ;26.52 ;5.96
372p39                                   ;0.0574 ;0.039875 ;0.0011875 ;10.66 ;8979.8 ;6.33 ;0.88 ;145.53 ;31.99 ;29.13 ;11.33 ;53.4 ;16.51 ;30.65 ;35.821 ;3.58 ;14.3 ;31.04 ;2.7 ;1.28 ;1.77 ;25.39 ;5.67
372p40                                   ;0.0562 ;0.039363 ;0.0011625 ;10.3 ;8860.6 ;5.99 ;0.73 ;145.45 ;37.57 ;30.69 ;19.05 ;63.13 ;9.62 ;43.57 ;91.046 ;4.51 ;11.3 ;27.97 ;2.08 ;1.15 ;2.47 ;26.17 ;5.52
381p03                                   ;0.0469 ;0.0397 ;0.001175 ;2.73 ;2321 ;1.6 ;1.23 ;37.78 ;34.37 ;34.11 ;14.45 ;61.85 ;21.17 ;44.39 ;440.1 ;6.09 ;11.9 ;25.94 ;1.3 ;0.35 ;5.31 ;25.99 ;3.91
381p04                                   ;0.0595 ;0.0448 ;0.0013375 ;2.69 ;2009.7 ;1.8 ;1.31 ;28.99 ;32.13 ;25.56 ;9.26 ;64.66 ;21.48 ;45.72 ;736.32 ;6.6 ;13.9 ;24.08 ;1.4 ;0.53 ;7.32 ;23.64 ;5.95
381p05                                   ;0.0449 ;0.039875 ;0.0011875 ;5.18 ;4361.8 ;3.08 ;1.1 ;70.69 ;34.42 ;29.37 ;11.27 ;60.77 ;17.87 ;41.9 ;235.24 ;5.46 ;12.4 ;28.98 ;1.7 ;0.55 ;5.23 ;29.23 ;5.15
381p06                                   ;0.0515 ;0.041912 ;0.00125 ;8.19 ;6553.1 ;5.12 ;0.92 ;101.04 ;32.72 ;28.08 ;8.82 ;60.35 ;23.82 ;46.05 ;48.247 ;3.88 ;13.5 ;27.75 ;2.15 ;0.58 ;4.94 ;28.66 ;4.84
381p07                                   ;0.0441 ;0.0402 ;0.0011875 ;3.14 ;2643.5 ;1.86 ;1.27 ;42.49 ;32.15 ;24.46 ;9.33 ;50.88 ;37.8 ;32.92 ;468.89 ;6.15 ;14.3 ;29.19 ;1.95 ;0.65 ;6.33 ;29.18 ;5.3
381p08                                   ;0.0468 ;0.040787 ;0.0012125 ;6.77 ;5582.6 ;4.1 ;1.04 ;88.45 ;38.36 ;34.46 ;17.3 ;69.23 ;5.92 ;47.5 ;137.51 ;4.92 ;11.4 ;27.88 ;1.28 ;0.48 ;5.19 ;28.08 ;5.47
381p09                                   ;0.0406 ;0.038113 ;0.001125 ;3.65 ;3243.8 ;2.05 ;1.31 ;55 ;36.8 ;32.36 ;12.29 ;47.38 ;40.66 ;30.55 ;300.66 ;5.71 ;12.7 ;27.5 ;1.92 ;0.5 ;5.27 ;29.8 ;4.06
381p11                                   ;0.043 ;0.041113 ;0.001225 ;3.73 ;3043.1 ;2.28 ;1.46 ;47.83 ;39.6 ;30.76 ;15.47 ;63.75 ;18.68 ;47 ;445.36 ;6.1 ;12 ;28.15 ;1.07 ;0.4 ;5.55 ;28.86 ;5.3
381p12                                   ;0.0472 ;0.04175 ;0.0012375 ;3.86 ;3115.4 ;2.39 ;1.38 ;48.22 ;59.29 ;28.99 ;35.82 ;51.55 ;31.41 ;33.64 ;850.48 ;6.75 ;13.2 ;26.41 ;1.4 ;0.53 ;6.66 ;27.48 ;5.47
381p13                                   ;0.0618 ;0.044463 ;0.001325 ;4.86 ;3664.9 ;3.22 ;1.12 ;53.27 ;32.25 ;31.82 ;10.34 ;51.52 ;36.88 ;31.63 ;328.08 ;5.79 ;13.3 ;26.55 ;1.94 ;0.57 ;5.85 ;27.65 ;4.98
381p14                                   ;0.0466 ;0.041238 ;0.001225 ;3.37 ;2754.8 ;2.07 ;1.24 ;43.17 ;31.89 ;25.41 ;8.51 ;55.61 ;28.33 ;33.35 ;534.51 ;6.28 ;12.5 ;27.9 ;1.42 ;0.45 ;5.91 ;28.86 ;4.67
381p15                                   ;0.042 ;0.038337 ;0.0011375 ;4.18 ;3673.9 ;2.38 ;1.21 ;61.93 ;46.04 ;31.46 ;25.48 ;58.73 ;19.06 ;39.11 ;327.04 ;5.79 ;10.3 ;28.18 ;1.32 ;0.3 ;4.22 ;30.35 ;3.89
381p17                                   ;0.0532 ;0.0435 ;0.0012875 ;3.06 ;2377.3 ;1.97 ;1.32 ;35.31 ;37.63 ;34.71 ;15.59 ;64.93 ;19.47 ;45.59 ;844.43 ;6.74 ;12.9 ;24.16 ;1.39 ;0.47 ;6.85 ;23.19 ;4.98
381p18                                   ;0.0484 ;0.0404 ;0.0012 ;2.05 ;1708.6 ;1.23 ;1.11 ;27.33 ;28.75 ;26.81 ;8.83 ;66.1 ;20.13 ;48.32 ;742.52 ;6.61 ;12.3 ;24.58 ;1.3 ;0.37 ;6.32 ;25.61 ;4.68
381p19                                   ;0.0484 ;0.0412 ;0.001225 ;3.43 ;2802.9 ;2.1 ;1.3 ;43.96 ;35.54 ;35.93 ;16.38 ;53.42 ;30.77 ;34.71 ;715.79 ;6.57 ;12 ;26.17 ;1.4 ;0.42 ;5.8 ;27.42 ;4.84
381p21                                   ;0.0404 ;0.039012 ;0.0011625 ;3.62 ;3113.9 ;2.1 ;1.31 ;51.58 ;36.73 ;30.36 ;12.69 ;61.44 ;10.92 ;42.68 ;493.1 ;6.2 ;12.9 ;30.38 ;1.52 ;0.55 ;5.55 ;31.27 ;5.61
381p22                                   ;0.0363 ;0.037075 ;0.0011 ;5.31 ;4824.7 ;2.92 ;1.11 ;84.09 ;36.26 ;24.27 ;9.01 ;47.79 ;30.36 ;30.08 ;80.597 ;4.39 ;12.5 ;28.47 ;1.75 ;0.5 ;4.75 ;29.55 ;4.06
381p23                                   ;0.0432 ;0.039238 ;0.0011625 ;7.09 ;6101.2 ;4.12 ;1.15 ;100.48 ;34.78 ;30.44 ;14.74 ;65.38 ;14.97 ;46.85 ;66.831 ;4.2 ;11.7 ;31.16 ;1.48 ;0.4 ;4.21 ;33.13 ;4.38
381p24                                   ;0.0422 ;0.040313 ;0.0012 ;5.4 ;4496.3 ;3.24 ;1.15 ;72.08 ;37.68 ;32.45 ;14.93 ;66.01 ;8.78 ;46.35 ;257.9 ;5.55 ;10.8 ;26.76 ;1.15 ;0.4 ;5.13 ;26.91 ;5.32
381p25                                   ;0.0397 ;0.03635 ;0.001075 ;2.78 ;2582.5 ;1.49 ;1.1 ;45.91 ;34.32 ;32.85 ;12.93 ;54.4 ;26.93 ;36.5 ;396.61 ;5.98 ;12.7 ;31.74 ;1.83 ;0.4 ;5.01 ;32.77 ;4.23
381p26                                   ;0.0395 ;0.038488 ;0.0011375 ;2.67 ;2345.8 ;1.52 ;1.23 ;39.38 ;29.64 ;19.22 ;4.98 ;56.1 ;25.9 ;39.16 ;232.51 ;5.45 ;12.6 ;30.63 ;1.73 ;0.4 ;4.93 ;31.79 ;4.06
381p27                                   ;0.0533 ;0.041575 ;0.0012375 ;4.28 ;3456.3 ;2.65 ;1.14 ;53.72 ;33.58 ;28.75 ;10.73 ;61.3 ;24.53 ;41.66 ;424.84 ;6.05 ;13.3 ;28.79 ;1.62 ;0.55 ;5.53 ;29.9 ;5.3
381p28                                   ;0.0617 ;0.044187 ;0.0013125 ;4.03 ;3071.9 ;2.65 ;1.27 ;44.93 ;32.81 ;23.89 ;8.57 ;59.05 ;28.49 ;38.33 ;907.98 ;6.81 ;12.4 ;26.35 ;1.3 ;0.47 ;5.98 ;26.33 ;5.14
381p29                                   ;0.0594 ;0.043588 ;0.0013 ;4.89 ;3758 ;3.18 ;1.15 ;55.72 ;41.6 ;38.52 ;21.25 ;46.06 ;36.51 ;25.22 ;559.63 ;6.33 ;12.3 ;25.72 ;1.42 ;0.47 ;5.95 ;30.33 ;5.14
be1p01                                   ;0.0687 ;0.048875 ;0.00145 ;11.08 ;7638.3 ;8.03 ;1.28 ;100.99 ;52.09 ;24.66 ;35.55 ;59.03 ;16.74 ;46.82 ;12.714 ;2.54 ;10.5 ;32.35 ;1.8 ;0.67 ;3.89 ;8.42 ;28.59
be1p02                                   ;0.0551 ;0.0455 ;0.00135 ;9.52 ;7048.7 ;6.42 ;1.46 ;100.11 ;53.2 ;30.07 ;39.77 ;64.73 ;13.55 ;51.51 ;17.652 ;2.87 ;11.3 ;30.44 ;1.9 ;0.76 ;4.4 ;8.77 ;26.17
be1p03                                   ;0.0608 ;0.046837 ;0.0013875 ;10.5 ;7565.2 ;7.28 ;1.23 ;104.37 ;43.67 ;35.31 ;25.15 ;63.21 ;12.07 ;51.14 ;21.238 ;3.06 ;11 ;31.22 ;2.11 ;0.84 ;4.15 ;7.45 ;29.36
be1p04                                   ;0.0692 ;0.048063 ;0.001425 ;11.54 ;8095.8 ;8.22 ;1.43 ;108.85 ;52.82 ;24.95 ;38.02 ;61.72 ;12.06 ;49.85 ;12.778 ;2.55 ;10.2 ;30.79 ;1.7 ;0.6 ;3.89 ;12.39 ;24.12
be1p05                                   ;0.0784 ;0.050525 ;0.0015 ;13.09 ;8724.4 ;9.81 ;1.11 ;111.58 ;45.07 ;29.88 ;25.88 ;61.71 ;14.96 ;49.16 ;11.212 ;2.42 ;10.6 ;27.39 ;2.21 ;0.81 ;3.69 ;9.23 ;23.21
be1p06                                   ;0.0679 ;0.048263 ;0.0014375 ;10.87 ;7561.4 ;7.81 ;1.35 ;101.25 ;58.51 ;21.34 ;45.41 ;65.25 ;9.12 ;51.36 ;20.043 ;3 ;10.3 ;30.48 ;1.98 ;0.78 ;4.09 ;8.44 ;27.76
be1p07                                   ;0.0668 ;0.048125 ;0.0014375 ;14.42 ;10032 ;10.36 ;1.09 ;134.72 ;44.36 ;27.69 ;23.26 ;63.87 ;7.53 ;50.7 ;7.305 ;1.99 ;9.4 ;32.18 ;1.76 ;0.69 ;3.24 ;8.34 ;30.11
be1p08                                   ;0.0555 ;0.04545 ;0.00135 ;8.54 ;6329.3 ;5.77 ;1.62 ;89.99 ;56.7 ;16.23 ;44.52 ;58.19 ;9.64 ;45.1 ;11.435 ;2.44 ;11.3 ;28.71 ;1.73 ;0.65 ;4.61 ;11.49 ;23.9
be1p09                                   ;0.0616 ;0.045863 ;0.0013625 ;10 ;7336.8 ;6.81 ;1.55 ;103.38 ;41.53 ;30.03 ;24.12 ;59 ;16.91 ;49.48 ;15.901 ;2.77 ;10.6 ;27.68 ;1.93 ;0.68 ;4.24 ;11.04 ;22.44
be1p10                                   ;0.0566 ;0.045213 ;0.00135 ;9.19 ;6808.9 ;6.2 ;1.44 ;97.33 ;43.84 ;33.21 ;22.04 ;62.26 ;16.52 ;52.86 ;14.361 ;2.66 ;7.9 ;28.11 ;2.2 ;0.75 ;4.17 ;7.96 ;26.82
be1p11                                   ;0.0603 ;0.04525 ;0.00135 ;10.27 ;7608.2 ;6.93 ;1.27 ;108.66 ;41.71 ;34.63 ;27.14 ;61.77 ;11.31 ;51.7 ;14.498 ;2.67 ;11.4 ;32.16 ;2.06 ;0.72 ;4.14 ;11.14 ;26.91
be1p12                                   ;0.0734 ;0.052062 ;0.00155 ;10.17 ;6563.2 ;7.88 ;1.46 ;81.47 ;43.56 ;36.6 ;24.92 ;64.55 ;13.48 ;52.5 ;15.27 ;2.73 ;11.5 ;28.87 ;2.04 ;0.82 ;4.7 ;10.45 ;24.01
be1p13                                   ;0.0681 ;0.047863 ;0.001425 ;9.09 ;6381.7 ;6.48 ;1.46 ;86.17 ;41.97 ;36.17 ;22.51 ;62.97 ;13.13 ;53.79 ;14.533 ;2.68 ;11.4 ;27.97 ;2.26 ;0.79 ;4.19 ;9.2 ;22.26
be1p14                                   ;0.0616 ;0.046813 ;0.0013875 ;12.04 ;8675.2 ;8.35 ;1.28 ;119.75 ;47 ;28.76 ;26.03 ;59.8 ;15.78 ;48.92 ;14.463 ;2.67 ;11.5 ;33.38 ;1.93 ;0.78 ;4.33 ;11.74 ;26.91
be1p15                                   ;0.0596 ;0.045875 ;0.0013625 ;10.59 ;7776 ;7.22 ;1.17 ;109.54 ;50.98 ;26.15 ;35.19 ;62.35 ;5.9 ;48.34 ;13.859 ;2.63 ;9.4 ;28.3 ;1.55 ;0.73 ;3.67 ;7.99 ;24.84
be1p16                                   ;0.0677 ;0.048738 ;0.00145 ;11.88 ;8193 ;8.61 ;1.23 ;108.64 ;51.02 ;29.89 ;37.03 ;60.67 ;8.82 ;48.73 ;15.338 ;2.73 ;10.5 ;31.08 ;1.81 ;0.71 ;4.31 ;8.98 ;27.08
be1p17                                   ;0.0645 ;0.046488 ;0.0013875 ;11.8 ;8505.5 ;8.19 ;1.24 ;118.24 ;42.3 ;36.9 ;27.26 ;63.21 ;7.25 ;50.06 ;15.798 ;2.76 ;11 ;31.5 ;1.88 ;0.73 ;4.23 ;12.21 ;23.92
be1p18                                   ;0.0664 ;0.04725 ;0.0014 ;11.34 ;8100.3 ;7.94 ;1.38 ;110.78 ;42.68 ;31.56 ;29.63 ;57.23 ;16.25 ;42.81 ;3.85 ;1.35 ;8.3 ;25.39 ;1.64 ;0.6 ;2.82 ;11.56 ;20.73
be1p19                                   ;0.0548 ;0.04445 ;0.001325 ;9.14 ;6900.3 ;6.06 ;1.46 ;100.32 ;51.63 ;29.31 ;37.3 ;58.85 ;17.41 ;45.88 ;13.108 ;2.57 ;11.2 ;28.89 ;1.84 ;0.75 ;4.54 ;9.91 ;24.64
